표준코드,제품코드,제품명,규격,단위,상한금액,업체명,주성분코드,주성분명,투여,분류
8806502060229,650206020,도베텔라정500밀리그램(도베실산칼슘수화물)_(0.5g/1정),1,정,235,안국약품(주),148103ATB,dobesilate calcium   0.5g,내복,219
8806502060311,650206030,페바로젯정4/10밀리그램_(1정),1,정,1349,안국약품(주),699500ATB,ezetimibe   10mg,내복,218
8806502060410,650206040,페바로젯정2/10밀리그램_(1정),1,정,1111,안국약품(주),699400ATB,ezetimibe   10mg,내복,218
8806502060526,650206051,카복텔라점안액(카르복시메틸셀룰로오스나트륨)(1회용)_(4.5mg/0.45mL),0.45,mL/관,225,안국약품(주),228651COS,carboxymethyl cellulose sodium   4.5mg(10mg/mL),외용,131
8806502060625,650206060,콕스투플러스정_(1정),1,정,567,안국약품(주),724600ATB,celecoxib   0.1g,내복,114
8806502060724,650206071,올로텔라점안액0.2%(올로파타딘염산염)(1회용)_(0.666mg/0.3mL),0.3,mL/관,1060,안국약품(주),391733COS,olopatadine hydrochloride (as olopatadine   0.6mg(2mg/mL)),외용,131
8806502060823,650206080,카노앤정30밀리그램(니세르골린)_(30mg/1정),1,정,360,안국약품(주),201203ATB,nicergoline   30mg,내복,219
8806502061028,650206100,"에이브스메트정50/1000밀리그램(빌다글립틴,메트포르민염산염)_(1정)",1,정,333,안국약품(주),507100ATB,metformin hydrochloride   1g,내복,396
8806502061325,650206131,브롬텔라점안액(브롬페낙나트륨수화물)(1회용)_(0.5mg/0.5mL),0.5,mL/관,366,안국약품(주),619204COS,bromfenac sodium sesquihydrate   0.5mg(1mg/mL),외용,131
8806502061417,650206140,디큐반정40밀리그램(발사르탄)_(40mg/1정),1,정,358,안국약품(주),247103ATB,valsartan   40mg,내복,214
8806502061523,650206150,"슈프라펜세미서방정(트라마돌, 아세트아미노펜)_(1정)",1,정,237,안국약품(주),513000ATR,acetaminophen   0.325g,내복,114
8806502061622,650206160,"슈프라펜서방정(트라마돌, 아세트아미노펜)_(1정)",1,정,355,안국약품(주),514100ATR,acetaminophen   0.65g,내복,114
8806502061820,650206180,"뉴레일정_(당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화25%에탄올연조엑스(3.5→1), 0.4054g/1정)",1,정,220,안국약품(주),618201ATB,당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화 25% ethanol soft ext.(3.5→1)   0.4054g,내복,114
8806502061912,650206190,슈스타정2.5밀리그램(로수바스타틴칼슘)_(2.6mg/1정),1,정,217,안국약품(주),454005ATB,rosuvastatin calcium (as rosuvastatin   2.5mg),내복,218
8806503000132,650300010,가나티란정(모사프리드시트르산염수화물)_(5.29mg/1정),1,정,88,진양제약(주),421001ATB,mosapride citrate hydrate (as mosapride   5mg),내복,239
8806503000446,650300040,그린페지정(메트포르민염산염)_(0.5g/1정),1,정,49,진양제약(주),191502ATB,metformin hydrochloride   0.5g,내복,396
8806503001610,650300161,네오세프건조시럽125밀리그람/5밀리리터(세파클러수화물)_(3.75g/150mL),150(1),mL/병,56,진양제약(주),125237ASY,cefaclor hydrate   3.75g(25mg/mL),내복,618
8806503001764,650300170,네오세프캡슐(세파클러수화물)_(0.25g/1캡슐),1,캡슐,372,진양제약(주),125201ACH,cefaclor hydrate   0.25g,내복,618
8806503002167,650300210,뉴자틴캡슐150밀리그램(니자티딘)_(0.15g/1캡슐),1,캡슐,303,진양제약(주),202701ACH,nizatidine   0.15g,내복,232
8806503002358,650300230,다피드정2.5밀리그램(인다파미드)_(2.5mg/1정),1,정,110,진양제약(주),174403ATB,indapamide   2.5mg,내복,213
8806503003218,650300320,디란트정25밀리그램(카르베딜롤)(수출명:비미데신정(카르베딜롤))_(25mg/1정),1,정,423,진양제약(주),125002ATB,carvedilol   25mg,내복,214
8806503003423,650300340,디멘사정(메만틴염산염)_(10mg/1정),1,정,718,진양제약(주),190001ATB,memantine hydrochloride (as memantine   8.31mg),내복,119
8806503003553,650300350,라미스타정(레바미피드)_(0.1g/1정),1,정,103,진양제약(주),222901ATB,rebamipide   0.1g,내복,232
8806503003713,650300370,에스프라정10mg(라베프라졸나트륨)_(10mg/1정),1,정,454,진양제약(주),222201ATE,rabeprazole sodium   10mg,내복,232
8806503004338,650300430,레부날정(레보드로프로피진)_(60mg/1정),1,정,112,진양제약(주),183102ATB,levodropropizine   60mg,내복,222
8806503004444,650300440,레자딥정(레르카니디핀염산염)_(10mg/1정),1,정,361,진양제약(주),182001ATB,lercanidipine hydrochloride   10mg,내복,214
8806503005649,650300560,모리캄캡슐(멜록시캄)_(7.5mg/1캡슐),1,캡슐,270,진양제약(주),189701ACH,meloxicam   7.5mg,내복,114
8806503005748,650300570,모리캄캡슐15mg(멜록시캄)_(15mg/1캡슐),1,캡슐,412,진양제약(주),189702ACH,meloxicam   15mg,내복,114
8806503005946,650300590,미아릴정(글리메피리드)(수출명:메니다정)_(2mg/1정),1,정,185,진양제약(주),165702ATB,glimepiride   2mg,내복,396
8806503006325,650300630,베스디핀정(암로디핀베실산염)_(6.944mg/1정),1,정,351,진양제약(주),107601ATB,amlodipine besylate (as amlodipine   5mg),내복,214
8806503006646,650300660,보니드정(레보설피리드)_(25mg/1정),1,정,101,진양제약(주),183501ATB,levosulpiride   25mg,내복,239
8806503007032,650300700,비소폴정(비소프롤롤푸마르산염)_(5mg/1정),1,정,189,진양제약(주),117902ATB,bisoprolol fumarate   5mg,내복,219
8806503007216,650300721,세레나크림(수출명:콤비겐크림)_(15g),15,g/개,990,진양제약(주),548700CCM,betamethasone dipropionate   9.6mg(0.64mg/g),외용,269
8806503007353,650300730,세론정(부스피론염산염)_(5mg/1정),1,정,125,진양제약(주),120502ATB,buspirone hydrochloride   5mg,내복,117
